customer_id,category_id,category_name,total_spending,product_id,product_name
ALFKI,8,Seafood,46,Spegesild,18.0
ALFKI,8,Seafood,58,Escargots de Bourgogne,503.4999996051192
ALFKI,7,Produce,28,Rössle Sauerkraut,604.1999797821045
ALFKI,4,Dairy Products,59,Raclette Courdavault,825.0
ALFKI,4,Dairy Products,71,Flotemysost,430.0
ALFKI,2,Condiments,3,Aniseed Syrup,60.0
ALFKI,2,Condiments,6,Grandma's Boysenberry Spread,379.9999997019768
ALFKI,2,Condiments,63,Vegie-spread,878.0000305175781
ALFKI,2,Condiments,77,Original Frankfurter grüne Soße,20.799999922513962
ALFKI,1,Beverages,39,Chartreuse verte,283.5
ALFKI,1,Beverages,76,Lakkalikööri,270.0
ANATR,8,Seafood,13,Konbu,60.0
ANATR,7,Produce,14,Tofu,69.75
ANATR,5,Grains/Cereals,42,Singaporean Hokkien Fried Mee,70.0
ANATR,4,Dairy Products,11,Queso Cabrales,42.0
ANATR,4,Dairy Products,32,Mascarpone Fabioli,320.0
ANATR,4,Dairy Products,60,Camembert Pierrot,340.0
ANATR,4,Dairy Products,69,Gudbrandsdalsost,28.799999237060547
ANATR,4,Dairy Products,72,Mozzarella di Giovanni,347.99999237060547
ANATR,3,Confections,19,Teatime Chocolate Biscuits,64.39999866485596
ANATR,1,Beverages,70,Outback Lager,60.0
ANTON,8,Seafood,40,Boston Crab Meat,165.5999962925911
ANTON,6,Meat/Poultry,17,Alice Mutton,702.0
ANTON,6,Meat/Poultry,53,Perth Pasties,819.9999809265137
ANTON,5,Grains/Cereals,42,Singaporean Hokkien Fried Mee,280.0
ANTON,5,Grains/Cereals,57,Ravioli Angelo,87.74999985471368
ANTON,4,Dairy Products,11,Queso Cabrales,1348.1999801248312
ANTON,4,Dairy Products,33,Geitost,91.99999988079071
ANTON,4,Dairy Products,59,Raclette Courdavault,742.4999987706542
ANTON,3,Confections,26,Gumbär Gummibärchen,796.3649827426673
ANTON,3,Confections,48,Chocolade,162.56249886006117
ANTON,2,Condiments,66,Louisiana Hot Spiced Okra,68.0
ANTON,1,Beverages,2,Chang,380.0
ANTON,1,Beverages,34,Sasquatch Ale,560.0
ANTON,1,Beverages,43,Ipoh Coffee,586.4999958872795
ANTON,1,Beverages,75,Rhönbräu Klosterbier,232.5
AROUT,8,Seafood,13,Konbu,96.00000381469727
AROUT,8,Seafood,36,Inlagd Sill,304.0
