total_order,total_amount,avg_order_value,reordered_within_6_months
12,4273.000009529293,712.1666682548821,0
10,1402.949990272522,350.7374975681305,0
17,7023.977433340102,1003.4253476200146,0
30,13390.649973928184,1030.0499979944757,0
52,24927.577430965976,1384.865412831443,0
14,3239.799991607666,462.8285702296666,0
26,18534.080079345105,1684.916370849555,0
6,4232.850018620491,1410.9500062068305,0
44,21963.252461684533,1291.9560271579137,0
35,20801.599952290955,1485.8285680207823,0
22,6089.899990081787,608.9899990081788,0
11,1814.7999839782717,302.4666639963786,0
2,100.79999923706056,100.79999923706056,0
22,12348.880053406656,1543.610006675832,0
10,3810.749990463257,762.1499980926513,0
7,1719.099988937378,573.0333296457926,0
10,3763.209972381592,627.2016620635986,0
9,1615.8999881744385,403.9749970436096,0
21,14761.034930229189,1845.1293662786484,0
102,104874.97814367748,3495.832604789249,0
19,4107.549923277647,586.792846182521,0
16,11666.900089263916,2333.380017852783,0
45,29567.56249002665,1556.187499475087,0
48,26656.559403990013,1777.103960266001,0
6,3172.1600036621094,1057.38666788737,0
10,1545.6999979019165,257.6166663169861,0
20,6427.422501099259,803.4278126374073,0
8,836.6999950408936,167.33999900817872,0
26,11446.359954776764,1144.6359954776765,0
19,8414.134980559349,934.9038867288166,0
22,18507.44997092657,1682.495451902415,0
4,1488.6999969482422,744.3499984741211,0
32,32841.369948457475,2345.812139175534,0
45,22768.7639257235,1264.931329206861,0
9,3063.2000246047974,612.6400049209594,0
55,49979.90508149548,2630.52132007871,0
23,6146.299984931946,614.6299984931945,0
39,30908.383872538416,2207.7417051813154,0
11,1992.0500106811523,498.0125026702881,0
31,9328.200014907125,666.3000010647946,0
8,522.4999923706055,174.16666412353516,0
2,356.99999809265137,178.49999904632568,0
39,19261.40995487184,1284.0939969914557,0
10,3076.472482238263,769.1181205595658,0
34,16076.599920950532,1148.328565782181,0
35,16476.56491531938,1373.0470762766151,0
14,4258.599994659424,532.324999332428,0
21,7176.214951009527,717.6214951009526,0
17,9736.075006915926,1390.8678581308466,0
32,28872.190156118424,2220.937704316802,0
11,5042.200035095215,1008.4400070190428,0
6,649.0,216.33333333333331,0
11,3460.200008392334,692.0400016784668,0
24,15177.462503358722,1517.7462503358722,0
29,12496.199963221698,1249.6199963221698,0
14,4242.200015068054,707.0333358446757,0
23,23128.86001497373,2312.8860014973734,0
10,5044.940011057854,1008.9880022115708,0
24,6664.809939688893,740.5344377432103,0
40,25717.497604973574,1978.269046536429,0
86,110277.3050303938,3938.4751796569217,0
12,2844.099998474121,568.8199996948242,0
71,51097.80082826821,2838.7667126815672,0
22,7048.239968932271,587.353330744356,0
27,12450.800013110042,1131.890910282731,0
30,19343.778920320856,1934.3778920320856,0
14,1467.2900185585022,293.4580037117004,0
16,5735.1500153541565,955.8583358923594,0
116,104361.94954039394,3366.51450130303,0
26,16215.325044126434,1801.7027826807148,0
15,16817.097612204925,2402.442516029275,0
6,2423.3500022888184,605.8375005722046,0
20,11441.630072270782,1271.292230252309,0
39,24088.780281318424,2007.3983567765356,0
7,3361.0000038146973,840.2500009536743,0
8,1947.2399940490725,649.0799980163574,0
14,4778.140057610571,796.3566762684285,0
29,10812.150033950806,1081.2150033950809,0
13,6850.664033139407,1141.777338856568,0
9,1571.1999893188477,523.7333297729492,0
31,15843.924896007404,1440.3568087279457,0
25,9182.42987764746,918.242987764746,0
10,1480.0000019073486,296.0000003814697,0
26,9588.424962970988,958.8424962970988,0
37,15648.702585553972,1043.2468390369315,0
19,6068.199970615656,674.2444411795173,0
40,27363.604900210797,1954.543207157914,0
17,3161.349983215332,451.6214261736189,0
16,3531.949995994568,504.56428514208113,0
12,929.6,72.33,1
55,16970.79,337.8,0
67,25466.46,359.13,0
57,23560.18,378.24,0
38,18213.96,441.03,1
22,2055.71,103.48,1
91,24381.82,266.05,0
21,3662.81,175.44,0
42,2294.62,56.76,0
50,8640.93,177.14,0
51,8232.22,153.92,0
48,9173.82,183.17,0
78,33657.0,470.41,0
31,8482.86,269.42,0
91,28569.87,302.18,0
46,13577.42,327.03,0
69,12658.22,181.18,0
75,6209.01,81.34,0
80,20859.02,255.03,0
78,34080.61,399.28,0
2,594.89,294.88,0
18,5134.38,261.74,1
27,4619.39,165.65,1
13,1602.38,115.47,1
23,5086.84,203.87,0
67,8256.26,122.14,0
55,24935.19,477.77,0
37,13710.07,363.56,0
36,5104.96,130.95,0
20,1295.45,59.29,0
54,13966.6,267.13,0
86,30311.0,322.59,0
52,20096.89,390.2,0
1,459.36,425.85,0
80,6535.43,80.19,0
12,3038.86,249.7,0
12,4275.81,362.89,1
81,7314.1,88.13,0
95,11946.57,114.85,0
78,13935.97,190.93,0
4,681.98,169.27,0
48,3705.67,74.1,0
3,614.23,196.07,0
6,725.71,123.01,0
73,4193.84,53.8,0
52,12672.31,226.12,0
57,14527.94,267.53,0
78,13196.84,163.66,0
65,3643.51,57.61,0
80,30100.9,385.65,1
13,5585.15,428.47,1
35,15361.94,414.04,0
32,11490.16,372.23,0
48,25175.73,499.29,0
5,2423.37,469.9,0
50,19066.42,406.26,0
13,4546.83,331.22,0
2,224.18,119.68,0
59,6402.37,106.61,0
56,8144.68,158.06,0
15,3189.05,230.97,1
9,2263.67,276.28,0
9,3740.11,435.95,0
33,12823.53,367.8,0
52,10715.37,206.61,0
94,27649.15,278.21,0
20,5968.2,276.61,0
51,12503.75,234.82,0
5,988.86,183.48,0
86,25915.7,274.49,0
4,694.34,166.41,0
97,27229.18,299.72,0
1,192.03,196.1,0
3,869.78,301.95,0
28,7730.25,252.27,0
80,9074.3,125.24,0
4,860.28,203.68,0
85,25230.68,277.35,0
38,5122.76,124.33,0
27,13908.92,493.9,0
5,320.38,68.15,0
25,3995.84,162.53,0
58,15613.96,282.58,0
56,23741.95,452.54,1
95,12760.19,126.3,1
54,13859.09,257.25,0
7,451.16,60.02,1
9,3600.03,393.35,0
46,6194.01,122.5,0
38,14243.49,370.75,1
65,10536.63,175.97,0
23,3589.17,155.39,0
77,39194.37,489.42,0
57,6683.09,121.16,0
60,8425.22,134.99,0
79,12277.84,168.13,0
74,16204.47,224.55,0
13,760.72,60.79,0
43,2410.87,58.26,0
39,17802.32,420.24,0
9,2152.78,241.08,0
70,15679.65,230.14,0
60,10300.75,179.07,0
3,1238.75,428.91,0
47,22975.17,472.6,0
7,3364.57,446.06,0
13,2227.23,180.21,0
86,25882.53,287.4,0
70,27448.42,406.4,0
27,11141.75,422.56,0
55,12957.95,234.43,0
43,3822.9,87.05,0
65,12823.5,195.03,0
29,8792.15,304.9,0
45,3827.08,87.73,0
16,3089.47,213.97,0
8,703.18,88.59,0
35,13881.41,440.47,0
60,5130.78,82.65,1
73,32472.84,411.94,0
45,8802.1,189.68,0
79,33367.44,452.94,0
78,9228.62,116.95,0
24,2768.44,126.93,0
2,871.02,476.62,0
38,17024.26,421.39,0
31,14151.33,442.07,0
71,17642.68,242.35,0
89,22811.05,262.45,0
67,9570.06,149.74,0
19,8837.92,495.67,0
6,1523.13,242.85,0
51,19180.87,407.66,0
88,12077.34,152.22,0
36,9881.84,294.88,0
15,4969.49,351.24,0
48,2911.55,59.42,0
89,5608.94,65.38,0
32,8046.85,230.74,0
98,9066.13,98.29,0
91,12243.15,141.02,0
85,44628.7,489.02,0
10,3251.07,313.25,0
54,14932.5,287.05,0
34,11540.39,371.4,0
78,26970.71,337.1,0
44,4468.43,92.51,0
12,804.07,74.25,0
73,17664.81,244.28,0
92,22101.12,249.28,0
74,12045.65,169.47,0
84,14748.4,179.07,0
21,1311.98,58.66,0
2,414.05,222.26,0
20,7133.69,346.49,0
90,15415.25,178.49,0
19,2112.01,102.05,0
33,3006.86,96.37,0
16,8724.14,497.5,0
58,4251.36,76.78,0
18,3705.89,189.49,0
78,41001.3,495.74,0
45,20712.94,459.17,0
69,34804.8,482.89,0
3,973.77,316.18,0
24,6009.19,265.04,0
91,11435.56,124.95,0
69,32487.96,444.07,0
96,41332.17,392.4,0
58,16575.04,280.95,0
48,20234.77,447.8,0
10,2552.4,274.99,0
33,3010.25,83.79,0
96,19482.57,210.37,0
13,2950.85,224.18,0
5,2340.63,462.56,0
94,34442.67,366.99,0
90,24486.16,262.76,0
8,2770.83,364.87,0
38,10600.8,265.9,0
79,34827.49,437.17,0
27,7306.15,267.92,0
55,21232.05,413.57,1
50,6532.17,137.18,0
58,14445.37,233.93,0
72,30919.88,415.74,0
60,9378.4,159.04,0
46,20089.48,438.36,0
80,26673.78,340.48,0
35,8473.97,247.39,0
53,9903.51,202.62,0
75,24433.65,305.52,0
16,4545.31,276.47,0
50,14490.08,287.5,0
37,8430.33,242.52,0
90,14787.87,175.53,0
23,6215.65,280.36,0
12,2672.93,209.31,0
97,47928.95,466.76,0
78,25673.4,307.44,0
