customer_id,total_order,total_amount,avg_order_value,last_order_date
ALFKI,12,4273.000009529293,712.1666682548821,1998-04-09
ANATR,10,1402.949990272522,350.7374975681305,1998-03-04
ANTON,17,7023.977433340102,1003.4253476200146,1998-01-28
AROUT,30,13390.649973928183,1030.0499979944757,1998-04-10
BERGS,52,24927.577430965976,1384.865412831443,1998-03-04
BLAUS,14,3239.799991607666,462.8285702296666,1998-04-29
BLONP,26,18534.080079345105,1684.916370849555,1998-01-12
BOLID,6,4232.850018620491,1410.9500062068303,1998-03-24
BONAP,44,21963.252461684533,1291.9560271579137,1998-05-06
BOTTM,35,20801.599952290955,1485.8285680207825,1998-04-24
BSBEV,22,6089.899990081787,608.9899990081788,1998-04-14
CACTU,11,1814.7999839782715,302.4666639963786,1998-04-28
CENTC,2,100.79999923706055,100.79999923706055,1996-07-18
CHOPS,22,12348.880053406656,1543.610006675832,1998-04-22
COMMI,10,3810.749990463257,762.1499980926513,1998-04-22
CONSH,7,1719.099988937378,573.0333296457926,1998-01-23
DRACD,10,3763.209972381592,627.2016620635986,1998-05-04
DUMON,9,1615.8999881744385,403.9749970436096,1998-02-16
EASTC,21,14761.034930229187,1845.1293662786484,1998-04-28
ERNSH,102,104874.97814367748,3495.832604789249,1998-05-05
FAMIA,19,4107.5499232776465,586.792846182521,1997-10-31
FOLIG,16,11666.900089263916,2333.380017852783,1997-12-22
FOLKO,45,29567.562490026652,1556.187499475087,1998-04-27
FRANK,48,26656.559403990013,1777.103960266001,1998-04-09
FRANR,6,3172.1600036621094,1057.3866678873699,1998-03-24
FRANS,10,1545.6999979019165,257.6166663169861,1998-04-30
FURIB,20,6427.422501099259,803.4278126374073,1998-03-19
GALED,8,836.6999950408936,167.33999900817872,1998-03-05
GODOS,26,11446.359954776763,1144.6359954776763,1998-04-21
GOURL,19,8414.134980559349,934.9038867288166,1998-04-24
GREAL,22,18507.449970926566,1682.495451902415,1998-04-30
GROSR,4,1488.6999969482422,744.3499984741211,1997-12-18
HANAR,32,32841.369948457475,2345.812139175534,1998-04-27
HILAA,45,22768.7639257235,1264.931329206861,1998-04-28
HUNGC,9,3063.2000246047974,612.6400049209594,1997-09-08
HUNGO,55,49979.90508149548,2630.52132007871,1998-04-30
ISLAT,23,6146.299984931946,614.6299984931945,1998-03-06
KOENE,39,30908.383872538416,2207.7417051813154,1998-04-16
LACOR,11,1992.0500106811523,498.0125026702881,1998-03-24
LAMAI,31,9328.200014907125,666.3000010647946,1998-04-27
LAUGB,8,522.4999923706055,174.16666412353516,1998-01-01
LAZYK,2,356.99999809265137,178.49999904632568,1997-05-22
LEHMS,39,19261.409954871837,1284.0939969914557,1998-05-05
LETSS,10,3076.472482238263,769.1181205595658,1998-02-12
LILAS,34,16076.599920950532,1148.328565782181,1998-05-05
LINOD,35,16476.56491531938,1373.0470762766151,1998-04-21
LONEP,14,4258.599994659424,532.324999332428,1998-04-13
MAGAA,21,7176.214951009527,717.6214951009526,1998-03-16
MAISD,17,9736.075006915926,1390.8678581308466,1998-04-07
MEREP,32,28872.190156118424,2220.937704316802,1997-10-30
MORGK,11,5042.200035095215,1008.4400070190429,1998-03-12
NORTS,6,649.0,216.33333333333334,1998-04-29
OCEAN,11,3460.200008392334,692.0400016784668,1998-03-30
OLDWO,24,15177.462503358722,1517.7462503358722,1998-04-20
OTTIK,29,12496.199963221698,1249.6199963221698,1998-04-14
PERIC,14,4242.200015068054,707.0333358446757,1998-05-05
PICCO,23,23128.860014973732,2312.8860014973734,1998-04-27
PRINI,10,5044.940011057854,1008.9880022115707,1998-04-08
QUEDE,24,6664.809939688893,740.5344377432103,1998-03-31
QUEEN,40,25717.497604973578,1978.269046536429,1998-05-04
QUICK,86,110277.3050303938,3938.4751796569217,1998-04-14
RANCH,12,2844.099998474121,568.8199996948242,1998-04-13
RATTC,71,51097.80082826821,2838.7667126815672,1998-05-06
REGGC,22,7048.239968932271,587.353330744356,1998-04-30
RICAR,27,12450.800013110042,1131.890910282731,1998-04-29
RICSU,30,19343.778920320856,1934.3778920320856,1998-05-06
ROMEY,14,1467.2900185585022,293.4580037117004,1998-04-09
SANTG,16,5735.1500153541565,955.8583358923594,1998-04-10
SAVEA,116,104361.94954039394,3366.51450130303,1998-05-01
SEVES,26,16215.325044126434,1801.7027826807148,1998-02-04
SIMOB,15,16817.097612204925,2402.442516029275,1998-05-06
SPECD,6,2423.3500022888184,605.8375005722046,1998-04-22
SPLIR,20,11441.630072270782,1271.292230252309,1998-03-25
SUPRD,39,24088.780281318424,2007.3983567765354,1998-04-21
THEBI,7,3361.0000038146973,840.2500009536743,1998-04-01
THECR,8,1947.2399940490723,649.0799980163574,1998-04-06
TOMSP,14,4778.140057610571,796.3566762684285,1998-03-23
TORTU,29,10812.150033950806,1081.2150033950807,1998-05-04
TRADH,13,6850.664033139407,1141.777338856568,1998-01-19
TRAIH,9,1571.1999893188477,523.7333297729492,1998-01-08
VAFFE,31,15843.924896007404,1440.3568087279457,1998-04-02
VICTE,25,9182.42987764746,918.2429877647461,1998-01-23
VINET,10,1480.0000019073486,296.0000003814697,1997-11-12
WANDK,26,9588.424962970987,958.8424962970987,1998-04-23
WARTH,37,15648.702585553972,1043.2468390369315,1998-04-15
WELLI,19,6068.199970615656,674.2444411795173,1998-03-09
WHITC,40,27363.604900210794,1954.543207157914,1998-05-01
WILMK,17,3161.349983215332,451.6214261736189,1998-04-07
WOLZA,16,3531.949995994568,504.56428514208113,1998-04-23
