customer_id,avg_discount,total_quantity,total_spending
QUICK,0.069,3961,110277.30503039382
ERNSH,0.068,4543,104874.97814367746
SAVEA,0.083,4958,104361.94954039395
RATTC,0.035,1383,51097.80082826822
HUNGO,0.114,1684,49979.90508149549
HANAR,0.067,839,32841.369948457475
KOENE,0.040,903,30908.383872538416
FOLKO,0.086,1234,29567.562490026656
MEREP,0.058,966,28872.19015611842
WHITC,0.069,1063,27363.604900210797
FRANK,0.066,1525,26656.559403990017
QUEEN,0.090,1031,25717.497604973578
BERGS,0.058,1001,24927.577430965972
SUPRD,0.029,1072,24088.780281318428
PICCO,0.072,624,23128.86001497373
HILAA,0.033,1096,22768.76392572349
BONAP,0.073,980,21963.252461684533
BOTTM,0.084,956,20801.59995229095
RICSU,0.042,810,19343.778920320852
LEHMS,0.096,794,19261.409954871837
BLONP,0.029,666,18534.080079345105
GREAL,0.070,345,18507.44997092657
SIMOB,0.140,378,16817.097612204925
LINOD,0.089,970,16476.56491531938
SEVES,0.073,818,16215.325044126435
LILAS,0.097,836,16076.599920950532
VAFFE,0.032,792,15843.924896007406
WARTH,0.054,737,15648.702585553974
OLDWO,0.067,603,15177.462503358722
EASTC,0.024,569,14761.034930229187
AROUT,0.023,650,13390.649973928183
OTTIK,0.059,639,12496.1999632217
RICAR,0.048,660,12450.800013110042
CHOPS,0.059,465,12348.880053406656
FOLIG,0.000,354,11666.900089263916
GODOS,0.040,395,11446.359954776763
SPLIR,0.093,327,11441.630072270782
TORTU,0.000,384,10812.150033950806
MAISD,0.059,320,9736.075006915928
WANDK,0.088,492,9588.424962970987
LAMAI,0.126,442,9328.200014907121
VICTE,0.092,434,9182.42987764746
GOURL,0.068,315,8414.134980559349
MAGAA,0.050,433,7176.214951009528
REGGC,0.082,335,7048.239968932271
ANTON,0.059,359,7023.977433340102
TRADH,0.073,251,6850.664033139407
QUEDE,0.060,394,6664.809939688891
FURIB,0.098,349,6427.422501099259
ISLAT,0.000,295,6146.299984931946
BSBEV,0.000,293,6089.899990081787
WELLI,0.082,267,6068.199970615655
SANTG,0.000,161,5735.1500153541565
PRINI,0.090,184,5044.940011057854
MORGK,0.000,172,5042.200035095215
TOMSP,0.089,253,4778.140057610572
ALFKI,0.088,174,4273.000009529293
LONEP,0.000,134,4258.599994659424
PERIC,0.000,208,4242.200015068054
BOLID,0.117,190,4232.850018620491
FAMIA,0.063,357,4107.5499232776465
COMMI,0.000,133,3810.749990463257
DRACD,0.000,160,3763.209972381592
WOLZA,0.000,205,3531.949995994568
OCEAN,0.000,132,3460.200008392334
THEBI,0.000,46,3361.0000038146973
BLAUS,0.000,140,3239.799991607666
FRANR,0.000,69,3172.1600036621094
WILMK,0.000,148,3161.349983215332
LETSS,0.110,181,3076.4724822382627
HUNGC,0.000,122,3063.2000246047974
RANCH,0.000,92,2844.099998474121
SPECD,0.000,48,2423.3500022888184
LACOR,0.000,83,1992.0500106811523
THECR,0.000,59,1947.2399940490723
CACTU,0.000,115,1814.7999839782715
CONSH,0.000,87,1719.099988937378
DUMON,0.000,80,1615.8999881744385
TRAIH,0.000,89,1571.1999893188477
FRANS,0.000,54,1545.6999979019165
GROSR,0.000,34,1488.6999969482422
VINET,0.000,98,1480.0000019073486
ROMEY,0.000,91,1467.2900185585022
ANATR,0.000,63,1402.949990272522
GALED,0.000,42,836.6999950408936
NORTS,0.000,30,649.0
LAUGB,0.000,62,522.4999923706055
LAZYK,0.000,20,356.99999809265137
CENTC,0.000,11,100.79999923706055
