customer_id,avg_discount,total_quantity,total_spending,return_risk
QUICK,0.069,3961,110277.30503039382,0
ERNSH,0.068,4543,104874.97814367746,0
SAVEA,0.083,4958,104361.94954039395,0
RATTC,0.035,1383,51097.80082826822,0
HUNGO,0.114,1684,49979.90508149549,0
HANAR,0.067,839,32841.369948457475,0
KOENE,0.040,903,30908.383872538416,0
FOLKO,0.086,1234,29567.562490026656,0
MEREP,0.058,966,28872.19015611842,0
WHITC,0.069,1063,27363.604900210797,0
FRANK,0.066,1525,26656.559403990017,0
QUEEN,0.090,1031,25717.497604973578,0
BERGS,0.058,1001,24927.577430965972,0
SUPRD,0.029,1072,24088.780281318428,0
PICCO,0.072,624,23128.86001497373,0
HILAA,0.033,1096,22768.76392572349,0
BONAP,0.073,980,21963.252461684533,0
BOTTM,0.084,956,20801.59995229095,0
RICSU,0.042,810,19343.778920320852,0
LEHMS,0.096,794,19261.409954871837,0
BLONP,0.029,666,18534.080079345105,0
GREAL,0.070,345,18507.44997092657,0
SIMOB,0.140,378,16817.097612204925,0
LINOD,0.089,970,16476.56491531938,0
SEVES,0.073,818,16215.325044126435,0
LILAS,0.097,836,16076.599920950532,0
VAFFE,0.032,792,15843.924896007406,0
WARTH,0.054,737,15648.702585553974,0
OLDWO,0.067,603,15177.462503358722,0
EASTC,0.024,569,14761.034930229187,0
AROUT,0.023,650,13390.649973928183,0
OTTIK,0.059,639,12496.1999632217,0
RICAR,0.048,660,12450.800013110042,0
CHOPS,0.059,465,12348.880053406656,0
FOLIG,0.000,354,11666.900089263916,0
GODOS,0.040,395,11446.359954776763,0
SPLIR,0.093,327,11441.630072270782,0
TORTU,0.000,384,10812.150033950806,0
MAISD,0.059,320,9736.075006915928,0
WANDK,0.088,492,9588.424962970987,0
LAMAI,0.126,442,9328.200014907121,0
VICTE,0.092,434,9182.42987764746,0
GOURL,0.068,315,8414.134980559349,0
MAGAA,0.050,433,7176.214951009528,0
REGGC,0.082,335,7048.239968932271,0
ANTON,0.059,359,7023.977433340102,1
TRADH,0.073,251,6850.664033139407,1
QUEDE,0.060,394,6664.809939688891,1
FURIB,0.098,349,6427.422501099259,1
ISLAT,0.000,295,6146.299984931946,0
BSBEV,0.000,293,6089.899990081787,0
WELLI,0.082,267,6068.199970615655,1
SANTG,0.000,161,5735.1500153541565,0
PRINI,0.090,184,5044.940011057854,1
MORGK,0.000,172,5042.200035095215,0
TOMSP,0.089,253,4778.140057610572,1
ALFKI,0.088,174,4273.000009529293,1
LONEP,0.000,134,4258.599994659424,0
PERIC,0.000,208,4242.200015068054,0
BOLID,0.117,190,4232.850018620491,1
FAMIA,0.063,357,4107.5499232776465,1
COMMI,0.000,133,3810.749990463257,0
DRACD,0.000,160,3763.209972381592,0
WOLZA,0.000,205,3531.949995994568,0
OCEAN,0.000,132,3460.200008392334,0
THEBI,0.000,46,3361.0000038146973,0
BLAUS,0.000,140,3239.799991607666,0
FRANR,0.000,69,3172.1600036621094,0
WILMK,0.000,148,3161.349983215332,0
LETSS,0.110,181,3076.4724822382627,1
HUNGC,0.000,122,3063.2000246047974,0
RANCH,0.000,92,2844.099998474121,0
SPECD,0.000,48,2423.3500022888184,0
LACOR,0.000,83,1992.0500106811523,0
THECR,0.000,59,1947.2399940490723,0
CACTU,0.000,115,1814.7999839782715,0
CONSH,0.000,87,1719.099988937378,0
DUMON,0.000,80,1615.8999881744385,0
TRAIH,0.000,89,1571.1999893188477,0
FRANS,0.000,54,1545.6999979019165,0
GROSR,0.000,34,1488.6999969482422,0
VINET,0.000,98,1480.0000019073486,0
ROMEY,0.000,91,1467.2900185585022,0
ANATR,0.000,63,1402.949990272522,0
GALED,0.000,42,836.6999950408936,0
NORTS,0.000,30,649.0,0
LAUGB,0.000,62,522.4999923706055,0
LAZYK,0.000,20,356.99999809265137,0
CENTC,0.000,11,100.79999923706055,0
