customer_id,order_date
ALFKI,1997-08-25
ALFKI,1997-10-03
ALFKI,1997-10-13
ALFKI,1998-01-15
ALFKI,1998-03-16
ALFKI,1998-04-09
ANATR,1996-09-18
ANATR,1997-08-08
ANATR,1997-11-28
ANATR,1998-03-04
ANTON,1996-11-27
ANTON,1997-04-15
ANTON,1997-05-13
ANTON,1997-06-19
ANTON,1997-09-22
ANTON,1997-09-25
ANTON,1998-01-28
AROUT,1996-11-15
AROUT,1996-12-16
AROUT,1997-02-21
AROUT,1997-06-04
AROUT,1997-10-16
AROUT,1997-11-14
AROUT,1997-11-17
AROUT,1997-12-08
AROUT,1997-12-24
AROUT,1998-02-02
AROUT,1998-03-03
AROUT,1998-03-16
AROUT,1998-04-10
BERGS,1996-08-12
BERGS,1996-08-14
BERGS,1996-12-16
BERGS,1997-02-12
BERGS,1997-02-13
BERGS,1997-05-01
BERGS,1997-06-18
BERGS,1997-08-11
BERGS,1997-09-02
BERGS,1997-09-17
BERGS,1997-10-01
BERGS,1997-11-07
BERGS,1997-12-16
BERGS,1998-01-16
BERGS,1998-01-28
BERGS,1998-02-03
BERGS,1998-02-06
BERGS,1998-03-04
BLAUS,1997-04-09
BLAUS,1997-04-17
BLAUS,1997-06-27
BLAUS,1997-07-29
BLAUS,1998-01-27
BLAUS,1998-03-17
BLAUS,1998-04-29
BLONP,1996-07-25
BLONP,1996-09-04
BLONP,1996-11-22
BLONP,1997-02-05
BLONP,1997-02-18
BLONP,1997-06-05
BLONP,1997-06-12
BLONP,1997-06-30
BLONP,1997-08-12
BLONP,1997-09-23
BLONP,1998-01-12
BOLID,1996-10-10
BOLID,1997-12-29
BOLID,1998-03-24
BONAP,1996-10-16
BONAP,1996-10-29
BONAP,1996-11-25
BONAP,1997-03-11
BONAP,1997-04-18
BONAP,1997-05-02
BONAP,1997-09-10
BONAP,1997-10-23
BONAP,1997-11-05
BONAP,1997-11-06
BONAP,1997-11-26
BONAP,1998-01-12
BONAP,1998-02-05
BONAP,1998-02-09
BONAP,1998-03-06
BONAP,1998-03-11
BONAP,1998-05-06
BOTTM,1996-12-20
BOTTM,1997-01-10
BOTTM,1997-01-30
BOTTM,1997-04-01
BOTTM,1997-11-14
BOTTM,1998-03-02
BOTTM,1998-03-12
BOTTM,1998-03-13
BOTTM,1998-03-25
BOTTM,1998-03-27
BOTTM,1998-04-16
BOTTM,1998-04-23
BOTTM,1998-04-24
BSBEV,1996-08-26
BSBEV,1997-03-11
BSBEV,1997-03-24
BSBEV,1997-05-15
BSBEV,1997-05-16
BSBEV,1997-06-24
BSBEV,1997-07-15
BSBEV,1998-03-11
BSBEV,1998-03-13
BSBEV,1998-04-14
CACTU,1997-04-29
CACTU,1997-12-17
CACTU,1998-01-07
CACTU,1998-02-11
CACTU,1998-03-10
CACTU,1998-04-28
CENTC,1996-07-18
CHOPS,1996-07-11
CHOPS,1996-12-03
CHOPS,1997-04-28
CHOPS,1997-11-06
CHOPS,1997-11-19
CHOPS,1998-03-20
CHOPS,1998-04-16
CHOPS,1998-04-22
COMMI,1996-08-27
COMMI,1997-03-06
COMMI,1997-04-02
COMMI,1998-03-23
COMMI,1998-04-22
CONSH,1997-02-04
CONSH,1997-03-03
CONSH,1998-01-23
DRACD,1996-11-26
DRACD,1996-12-23
DRACD,1997-12-25
DRACD,1998-01-09
DRACD,1998-04-20
DRACD,1998-05-04
DUMON,1996-09-20
DUMON,1997-07-24
DUMON,1997-09-26
DUMON,1998-02-16
EASTC,1996-11-26
EASTC,1997-01-01
EASTC,1997-05-09
EASTC,1997-11-03
EASTC,1998-03-31
EASTC,1998-04-15
EASTC,1998-04-24
EASTC,1998-04-28
ERNSH,1996-07-17
ERNSH,1996-07-23
ERNSH,1996-11-11
ERNSH,1996-11-29
ERNSH,1996-12-13
ERNSH,1996-12-23
ERNSH,1997-01-02
ERNSH,1997-01-03
ERNSH,1997-01-30
ERNSH,1997-02-11
ERNSH,1997-04-22
ERNSH,1997-06-17
ERNSH,1997-07-10
ERNSH,1997-08-15
ERNSH,1997-09-12
ERNSH,1997-10-09
ERNSH,1997-12-03
ERNSH,1997-12-10
ERNSH,1997-12-11
ERNSH,1997-12-15
ERNSH,1997-12-24
ERNSH,1998-01-16
ERNSH,1998-01-27
ERNSH,1998-02-18
ERNSH,1998-03-23
ERNSH,1998-03-26
ERNSH,1998-04-01
ERNSH,1998-04-08
ERNSH,1998-04-13
ERNSH,1998-05-05
FAMIA,1996-11-06
FAMIA,1996-12-18
FAMIA,1997-01-14
FAMIA,1997-04-21
FAMIA,1997-06-26
FAMIA,1997-08-29
FAMIA,1997-10-31
FOLIG,1997-01-08
FOLIG,1997-03-20
FOLIG,1997-08-15
FOLIG,1997-12-03
FOLIG,1997-12-22
FOLKO,1996-07-24
FOLKO,1996-10-11
FOLKO,1996-12-10
FOLKO,1997-02-03
FOLKO,1997-02-28
FOLKO,1997-05-12
FOLKO,1997-06-06
FOLKO,1997-10-14
FOLKO,1997-12-02
FOLKO,1997-12-11
FOLKO,1998-01-09
FOLKO,1998-02-10
FOLKO,1998-02-23
FOLKO,1998-03-17
FOLKO,1998-03-26
FOLKO,1998-03-27
FOLKO,1998-04-01
FOLKO,1998-04-06
FOLKO,1998-04-27
FRANK,1996-07-29
FRANK,1996-10-24
FRANK,1996-10-30
FRANK,1996-12-27
FRANK,1997-03-27
FRANK,1997-06-06
FRANK,1997-08-07
FRANK,1997-09-02
FRANK,1997-09-16
FRANK,1997-09-19
FRANK,1997-10-24
FRANK,1997-12-23
FRANK,1998-01-29
FRANK,1998-03-05
FRANK,1998-04-09
FRANR,1997-09-17
FRANR,1998-01-29
FRANR,1998-03-24
FRANS,1997-01-22
FRANS,1997-10-20
FRANS,1997-11-25
FRANS,1997-12-31
FRANS,1998-04-15
FRANS,1998-04-30
FURIB,1996-10-14
FURIB,1996-11-12
FURIB,1997-03-04
FURIB,1997-03-31
FURIB,1997-05-28
FURIB,1997-07-18
FURIB,1997-09-10
FURIB,1998-03-19
GALED,1996-11-28
GALED,1997-01-27
GALED,1997-06-13
GALED,1998-02-13
GALED,1998-03-05
GODOS,1996-09-11
GODOS,1997-05-28
GODOS,1997-08-12
GODOS,1998-02-05
GODOS,1998-02-06
GODOS,1998-02-16
GODOS,1998-02-26
GODOS,1998-03-13
GODOS,1998-04-08
GODOS,1998-04-21
GOURL,1997-01-23
GOURL,1997-09-01
GOURL,1997-09-29
GOURL,1997-10-17
GOURL,1997-11-07
GOURL,1997-12-15
GOURL,1997-12-22
GOURL,1998-03-18
GOURL,1998-04-24
GREAL,1997-05-06
GREAL,1997-07-04
GREAL,1997-07-31
GREAL,1997-09-04
GREAL,1997-09-25
GREAL,1998-01-06
GREAL,1998-03-09
GREAL,1998-04-07
GREAL,1998-04-22
GREAL,1998-04-30
GROSR,1996-07-30
GROSR,1997-12-18
HANAR,1996-07-08
HANAR,1996-07-10
HANAR,1997-05-19
HANAR,1997-08-26
HANAR,1997-10-02
HANAR,1997-12-09
HANAR,1997-12-18
HANAR,1998-02-13
HANAR,1998-02-24
HANAR,1998-03-03
HANAR,1998-03-04
HANAR,1998-03-27
HANAR,1998-04-14
HANAR,1998-04-27
HILAA,1996-07-16
HILAA,1996-12-26
HILAA,1997-03-17
HILAA,1997-03-26
HILAA,1997-03-31
HILAA,1997-04-07
HILAA,1997-05-29
HILAA,1997-07-16
HILAA,1997-07-29
HILAA,1997-08-22
HILAA,1997-10-15
HILAA,1997-12-25
HILAA,1998-02-02
HILAA,1998-02-23
HILAA,1998-03-18
HILAA,1998-03-19
HILAA,1998-03-25
HILAA,1998-04-28
HUNGC,1996-12-06
HUNGC,1996-12-25
HUNGC,1997-01-15
HUNGC,1997-07-16
HUNGC,1997-09-08
HUNGO,1996-09-05
HUNGO,1996-09-19
HUNGO,1996-10-22
HUNGO,1996-12-05
HUNGO,1996-12-12
HUNGO,1997-01-29
HUNGO,1997-04-11
HUNGO,1997-04-24
HUNGO,1997-06-12
HUNGO,1997-08-27
HUNGO,1997-09-09
HUNGO,1997-09-30
HUNGO,1997-10-13
