user_id,product_id,rating
MORGK,16,1
OCEAN,72,1
HILAA,13,2
VAFFE,61,1
WOLZA,51,1
THEBI,34,1
LAMAI,50,1
GROSR,29,1
QUEEN,49,1
ANATR,14,1
LAMAI,36,3
ANTON,17,1
TORTU,59,1
LILAS,77,2
BSBEV,70,1
EASTC,35,1
EASTC,4,1
MEREP,56,2
LONEP,59,1
HILAA,24,3
HILAA,74,1
THEBI,72,1
MAGAA,26,1
OLDWO,42,1
TOMSP,51,1
GOURL,2,1
HUNGO,60,1
SAVEA,71,3
HUNGO,65,2
FOLKO,59,1
QUICK,33,2
ANATR,42,1
COMMI,56,1
BERGS,60,2
GODOS,10,1
CACTU,67,1
VINET,36,1
SAVEA,58,1
HILAA,55,1
SPLIR,38,1
AROUT,22,1
HUNGO,36,2
WANDK,35,1
ERNSH,24,4
WHITC,17,2
FAMIA,47,1
PICCO,41,1
WILMK,40,1
OTTIK,7,2
TRAIH,77,1
HANAR,71,1
SAVEA,26,2
BERGS,73,1
VINET,41,1
SAVEA,13,4
VICTE,68,1
WANDK,28,1
QUICK,21,1
HUNGO,29,3
RATTC,52,1
LONEP,62,1
TOMSP,24,1
FRANK,53,1
RANCH,49,1
RICAR,57,1
ANTON,34,1
ANTON,75,1
FOLKO,72,1
OLDWO,58,1
LONEP,28,1
CHOPS,60,1
WHITC,44,1
BSBEV,46,1
FURIB,44,2
FRANK,46,1
CHOPS,64,1
VAFFE,54,2
BONAP,25,1
BLAUS,28,1
THECR,10,1
ALFKI,58,1
GREAL,47,1
GREAL,35,1
PICCO,57,1
LINOD,2,1
FURIB,60,2
ERNSH,21,3
BOTTM,8,1
REGGC,24,1
WARTH,1,2
LILAS,23,1
ERNSH,74,2
PERIC,53,1
RATTC,3,1
BERGS,20,1
QUEEN,55,1
RICSU,76,1
AROUT,35,1
LEHMS,8,1
NORTS,59,1
ERNSH,32,1
SAVEA,19,3
HUNGO,31,2
DRACD,76,1
ANATR,60,1
BLAUS,11,1
TOMSP,34,2
REGGC,17,1
FOLKO,11,2
SIMOB,46,1
OLDWO,43,1
WOLZA,24,1
RICSU,13,1
RANCH,57,1
VAFFE,52,1
THECR,28,1
CHOPS,13,1
FAMIA,34,1
FOLIG,59,1
TRAIH,64,1
BONAP,47,1
QUICK,64,2
WELLI,70,2
RICAR,70,1
RICSU,30,1
RICSU,59,1
RATTC,55,2
WILMK,49,1
ERNSH,75,2
LEHMS,52,1
ISLAT,70,2
BOTTM,24,1
FURIB,4,1
FOLKO,71,1
WARTH,29,1
HUNGO,59,3
WOLZA,62,1
QUEDE,44,1
PERIC,60,1
FRANK,35,1
SANTG,19,1
FRANK,76,1
ERNSH,14,1
BERGS,59,1
DUMON,17,1
RICAR,59,1
BLONP,72,1
LILAS,46,1
GROSR,10,1
MAGAA,66,1
BONAP,62,1
GOURL,30,2
KOENE,31,1
GODOS,65,2
SPECD,38,1
ISLAT,62,1
KOENE,54,1
LEHMS,27,1
LILAS,10,1
LILAS,12,1
SPLIR,19,1
GOURL,47,1
FRANK,31,1
FAMIA,25,1
SAVEA,73,1
AROUT,31,3
FAMIA,53,1
MEREP,6,1
BOLID,75,1
SPLIR,60,1
HUNGO,6,1
DUMON,1,1
LILAS,21,1
MAISD,55,1
WHITC,54,1
ISLAT,56,1
ERNSH,64,4
TOMSP,56,1
OCEAN,7,1
LAUGB,13,1
BONAP,36,1
LONEP,53,1
OTTIK,10,1
BONAP,42,1
LILAS,11,2
RICSU,53,1
QUICK,60,4
